case_name,incident_name,protocol_candidate,mechanism_raw,mechanism_candidate,protocol_family,primary_root_cause,confidence,evidence_references
aes,AES (Deflationary token),aes,Business Logic Flaw & FlashLoan price manipulation,unassigned,,,,
sheepfarm,SheepFarm,sheepfarm,No input validation,unassigned,,,,
uearnpool,UEarnPool,uearnpool,FlashLoan Attack,unassigned,,,,
jay,JAY,jay,Insufficient validation + Reentrancy,unassigned,,,,
dfs,DFS,dfs,Insufficient validation + flashloan,unassigned,,,,
bgld,BGLD (Deflationary token),bgld,FlashLoan price manipulation,unassigned,,,,
rubic,Rubic,rubic,Arbitrary External Call Vulnerability,unassigned,,,,
tifi,TIFIToken,tifi,FlashLoan price manipulation,unassigned,,,,
qixi,Qixi,qixi,Underflow,unassigned,,,,
xcarnival,XCarnival,xcarnival,Infinite Number of Loans,unassigned,,,,
novo,NOVO Protocol,novo,Flashloan & Price Oracle Manipulation,unassigned,,,,
xst,XSTABLE Protocol,xst,Incorrect Logic Check,unassigned,,,,
bbox,BBOX,bbox,FlashLoan price manipulation,unassigned,,,,
nmbplatform,Nmbplatform,nmbplatform,FlashLoan price manipulation,unassigned,,,,
rfb,RFB,rfb,Predicting Random Numbers,unassigned,,,,
shoco,SHOCO,shoco,Reflection token,unassigned,,,,
qtn,QTNToken,qtn,business logic flaw,unassigned,,,,
tinu,TINU,tinu,Reflection token,unassigned,,,,
bra,BRA,bra,Business Logic Flaw,unassigned,,,,
bevo,BEVO,bevo,Reflection token,unassigned,,,,
omniestate,OmniEstate,omniestate,No Input Parameter Check,unassigned,,,,
gds,GDS,gds,Business Logic Flaw,unassigned,,,,
ufdao,UFDao,ufdao,Incorrect Parameter Setting,unassigned,,,,
upswing,UPSToken,upswing,business logic flaw,unassigned,,,,
roefinance,RoeFinance,roefinance,FlashLoan price manipulation,unassigned,,,,
efvault,EFVault,efvault,Storage Collision,unassigned,,,,
fdp,FDP,fdp,Reflection token,unassigned,,,,
dexible,Dexible,dexible,Arbitrary External Call Vulnerability,unassigned,,,,
dyna,DYNA,dyna,Business Logic Flaw,unassigned,,,,
revertfinance,RevertFinance,revertfinance,Arbitrary External Call Vulnerability,unassigned,,,,
starlink,Starlink,starlink,Business Logic Flaw,unassigned,,,,
bigfi,BIGFI,bigfi,Reflection token,unassigned,,,,
sheep,Sheep,sheep,Reflection token,unassigned,,,,
orion,Orion Protocol,orion,Reentrancy,unassigned,,,,
poolz,Poolz,poolz,integer overflow,unassigned,,,,
allbridge,Allbridge,allbridge,FlashLoan price manipulation,unassigned,,,,
dbw,DBW,dbw,Business Logic Flaw,unassigned,,,,
axioma,Axioma,axioma,Business Logic Flaw,unassigned,,,,
olife,OLIFE,olife,Reflection token,unassigned,,,,
sushi_router,SushiSwap,sushi_router,Unchecked User Input,unassigned,,,,
safemoon,SafeMoon Hack,safemoon,Access Control,authorization_failure,,,,
swapos,Swapos V2,swapos,error k value Attack,unassigned,,,,
yearnfinance,yearnFinance,yearnfinance,Misconfiguration,unassigned,,,,
babydogecoin,BabyDogeCoin,babydogecoin,Lack Slippage Protection,unassigned,,,,
silo_finance,Silo finance,silo_finance,Business Logic Flaw,unassigned,,,,
bitpaidio,Bitpaidio,bitpaidio,Business Logic Flaw,unassigned,,,,
fapen,FAPEN,fapen,Wrong balance check,unassigned,,,,
erc20tokenbank,ERC20TokenBank,erc20tokenbank,Price Manipulation,oracle_or_market_manipulation,,,,
cs,CS Token,cs,Outdated Global Variable,unassigned,,,,
hodlcapital,HODL,hodlcapital,Reflection token,unassigned,,,,
melo,Melo,melo,Access Control,authorization_failure,,,,
lw,LW,lw,FlashLoan Price Manipulation,unassigned,,,,
multichaincapital,MCC,multichaincapital,Reflection token,unassigned,,,,
level,Level,level,Business Logic Flaw,unassigned,,,,
sellc02,SellToken03,sellc,Unchecked User Input,unassigned,,,,
neverfall,NeverFall,neverfall,Price Manipulation,oracle_or_market_manipulation,,,,
sellc,SellToken01,sellc,Business Logic Flaw,unassigned,,,,
selltoken,SellToken02,selltoken,Price Manipulation,oracle_or_market_manipulation,,,,
snk,SNK,snk,Reward Calculation Error,unassigned,,,,
bunn,BUNN,bunn,Reflection tokens,unassigned,,,,
babydogecoin02,BabyDogeCoin02,babydogecoin,Lack Slippage Protection,unassigned,,,,
