case_name,incident_name,protocol_candidate,mechanism_raw,mechanism_candidate,protocol_family,primary_root_cause,confidence,evidence_references
gradient_maker_pool,GradientMakerPool,gradient_maker_pool,Price Oracle Manipulation,unassigned,,,,
resupply_fi,ResupplyFi,resupply_fi,Share price manipulation,unassigned,,,,
fpc,FPC,fpc,Logic Flaw,business_logic_failure,,,,
meta_pool,MetaPool,meta_pool,Access Control,authorization_failure,,,,
multicall_with_eth,MulticallWithETH,multicall_with_eth,arbitrary-call,unassigned,,,,
rant_token,RANT,rant_token,Logic Flaw,business_logic_failure,,,,
swapp_staking,SWAPPStaking,swapp_staking,Incorrect Reward calculation,unassigned,,,,
stepp2p,Stepp2p,stepp2p,Logic Flaw,business_logic_failure,,,,
abcc_app,ABCCApp,abcc_app,Lack of Access Control,unassigned,,,,
grizzifi,Grizzifi,grizzifi,Logic Flaw,business_logic_failure,,,,
hexotic,Hexotic,hexotic,Incorrect Input Validation,unassigned,,,,
multicall_with_xera,MulticallWithXera,multicall_with_xera,Access Control,authorization_failure,,,,
pdz,PDZ,pdz,Price Manipulation,oracle_or_market_manipulation,,,,
size_credit,SizeCredit,size_credit,Access Control,authorization_failure,,,,
mim_spell3,MIMSpell3,mim_spell,Bypassed Insolvency Check,unassigned,,,,
prxvt,PRXVT,prxvt,Bussiness Logic Flaw,unassigned,,,,
truebit,Truebit,truebit,OverFlow,arithmetic_failure,,,,
mttoken,MTToken,mttoken,Incorrect Fee Logic,unassigned,,,,
synaplogic,SynapLogic,synaplogic,Business Logic Flaw,unassigned,,,,
makina,Makina,makina,Price Oracle Manipulation,unassigned,,,,
moonwell,Moonwell,moonwell,Faulty Oracle,unassigned,,,,
laxo_token,LAXO Token,laxo_token,Incorrect Burn Logic,unassigned,,,,
curve_llamalend,Curve LlamaLend,curve_llamalend,Share price manipulation,unassigned,,,,
alkemi_earn,AlkemiEarn,alkemi_earn,Business Logic,unassigned,,,,
venus_the,Venus THE,venus_the,BorrowBehalf + Donation Attack,unassigned,,,,
futureswap,FutureSwap,futureswap,Unit Mismatch,unassigned,,,,
est,EST Token,est,Incorrect Token Burn Mechanism,unassigned,,,,
