case_name,chain,chain_id,positive_prediction_cutoff_time,minimum_additional_distinct_slots,reserve_target,control_address,control_identity,control_deployment_time,deployment_distance_seconds,creation_tx_hash,deployment_block,creation_type,trace_proof,source_object_key,source_object_sha256,source_record_sha256,edge_rank_sha256,reserve_assignment_sha256,queue_status,rpc_authorized,selection_authorized,stage_promotion_authorized,recovery3_mutation_authorized
Scorch,ethereum,1,2023-09-03T18:37:35Z,10,100,0xfe29edbf686110179ce10c58705f451ed05d89df,1:0xfe29edbf686110179ce10c58705f451ed05d89df,UNKNOWN_REQUIRES_RPC,-1,0x5e10c9a272df4a086829a164f7b46d5734d4f52b2d2497edcd282bdcf369a2a7,18014650,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_15000000_16000000.parquet,fb048ce929cf0d541c7dfe8c10ffb84dba33d093f3718146318d7b12073d7d12,b5aa2cb46d1452603b93ba4f7994402f73f794fcd12b03fe47df868a161315cc,0007853f62c7808d683f8ded977d16795332c3e6911685aa69dcba51c6373988,3f237bfe47c542c31a1805c003e0f32d1419990d22e4540958871c4d452509ec,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
StakeOnMe,ethereum,1,2020-04-28T04:21:58Z,10,100,0x11af8adce769df73181987127096f086dcdde962,1:0x11af8adce769df73181987127096f086dcdde962,UNKNOWN_REQUIRES_RPC,-1,0xeac38dce6ef8789916d71cc45e46f288c47cfba4e5b1c221fad6f6851355728f,9814761,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_12000000_13000000.parquet,f15d5aeb7e3fcb63cca93eb03fa583594412966874735914078f617ae9c9b2ea,42953f80756bb59053e157ce429d764cb86481e558d9c19d4661b6fad06070d2,000883b3cd2c539ebba3a2d71fee89a636da18ac45f1b93bc79809fa9da02b06,6791131538a165b2f484f07eb4c21e4268063fb757a2eaff587a6f3a2b3fa880,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
dfx,ethereum,1,2022-10-15T16:44:47Z,10,100,0xd34c4074636330397a2ea26012e6c26a15363b5f,1:0xd34c4074636330397a2ea26012e6c26a15363b5f,UNKNOWN_REQUIRES_RPC,-1,0xae8d7e9037f1baf67bac78331100b63a79b6f9ddf23cfd236a097449ed97ab59,15666127,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_0_1000000.parquet,d5e23a08a88dabb08e4eb326b1c042e55165b1fd682650ab9ed73f136e287d31,f8e253e7afd3ff406d35d9c501da0fbaeb78f21bd3731a8876e6e4840fa4c509,000504d0d9158f0864d359d74aaf7cfd7143184fc29dc06994027850e5632968,d16bd310cc65522c33770f42ab6a16ea99d6c583a33812672b4d6f4a2986cd2f,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
dodo_flashloan,ethereum,1,2021-02-27T12:07:58Z,10,100,0xa8d1a1937e24f199d8e736a527b62e78b6dc9180,1:0xa8d1a1937e24f199d8e736a527b62e78b6dc9180,UNKNOWN_REQUIRES_RPC,-1,0x48a342263c46384199dfbeb55aed271f7694290e772f1f02412e220b49c98c34,11839389,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_18000000_19000000.parquet,2dcd3c6c46c1f5489efaf97a7571ebbe6353d25a2f649f3933fab9345109debf,40c7493c1095ae789725a832d5ff03e2363c5421d0ca4c439c2dee0d6a878804,0003a6a9a823705a38711dbac2b129c883e1948078ae799d0159a18bff6f7692,c1a6396a860c0fb53b5232ac2d01c876ae4143c49ffe9421c8713a084891d5da,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
eflevervault,ethereum,1,2022-05-28T05:12:39Z,10,100,0xbcdd5374e10d58f16ed2d900a9c0868eba07e5dc,1:0xbcdd5374e10d58f16ed2d900a9c0868eba07e5dc,UNKNOWN_REQUIRES_RPC,-1,0x9856411abb3589ea107fed240f54324f2afad496a9b3ad71566fb4ba10e93d41,14790828,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_19000000_20000000.parquet,204b7f381daf9d8017d4efd97183633a94c1c646efa22b219290c725f63c79d8,eaafbb7f28e97ca24c13428f5304763c05454b28879b7f6b020dfa698c177182,0001691759645263cb114608b89dd4bcc800baa71b7f6670996c1fa0ccb3e9ec,a4c49fcd025012e39023dba51d02fe46b55a2a4351ffdeb7ed50f5b6afda6b29,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
miner,ethereum,1,2024-02-12T19:40:23Z,10,100,0xa8b639edd15c0d10a55f97c1ac14d1a251feef78,1:0xa8b639edd15c0d10a55f97c1ac14d1a251feef78,UNKNOWN_REQUIRES_RPC,-1,0x0573a5957052bd8df65508524a119ff830217d1d99e4244e5a2a185f4fc8c389,19208233,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_9000000_10000000.parquet,6777e0b50be1d60a845e1be0313473c99fb8675967b51e4530577f82391cd3cf,1acc82ce274a9f5250630f8ae2cb63b0591138a6ea40ce6092d54e7322dac633,000dba056a63d026a86270e9377615f5d50231181edbb614a7b6aa5edd7c0ca3,90e949af5cd7203213f9f63d85e19c2c81b52393ee1702f4fcd0086e2cab72c4,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
onyxdao,ethereum,1,2023-03-01T15:32:59Z,10,100,0x5a4902124ec26881aac31c8849d718891feecf03,1:0x5a4902124ec26881aac31c8849d718891feecf03,UNKNOWN_REQUIRES_RPC,-1,0x96930b99bcac4043ca9841d25173b0cec1943c67b41407153a4db7d2e3cef419,16600456,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_22000000_23000000.parquet,a1a8c72cce1fe224b93b96844ae747785fcf2fe710f05d75b354ef366070990a,712962943f64383abfc01f6135c54f07b08b43c69c8ba4a55280298c8a68b5f3,00076c54fe10334a67ec434dede7be5f6a470cbf75d1af5195ec8e47cb9e00ae,72595cc95f90b087796a03f87d78276c97279e272c86bec4432a3cd00d53c85a,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
onyxprotocol,ethereum,1,2023-10-27T15:58:11Z,10,100,0xfb315f4fcb73572d258ec57e19949ad7dedfd663,1:0xfb315f4fcb73572d258ec57e19949ad7dedfd663,UNKNOWN_REQUIRES_RPC,-1,0xb4e6d9dfd497a76a567f79e5d22d8a1b952b9cc0b1934687439bddeac95cf92a,18374589,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_2000000_3000000.parquet,6d562e88df03827bfbf01c2b88d473f0dece6ca3dcd2b0c76188bf3236dcdaae,a7bc3997b46c0fa9736486f538c887bf91b004950d8feec5aab1eb01456d87c4,0007bac769acbca1a47361d3854346dfb2bea359e7079be26d9240082e317e8b,0a0319d895ddd2fee997b9c00eebb7d5e1a4d02f83e57b199ad173578b69dbd6,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
silo_finance,ethereum,1,2022-10-26T05:58:59Z,10,100,0xe2a0b127f01eb03373c2c75abd2f6ff4e83b670e,1:0xe2a0b127f01eb03373c2c75abd2f6ff4e83b670e,UNKNOWN_REQUIRES_RPC,-1,0xa323fe633b5ca6cce88d0d244707316065785fcbb401b759e4975d6fbfc35c92,15644139,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_6000000_7000000.parquet,408541b1fff35d9d72eb413a63bd7e1ecdfd299daa7ca67b3c7185856aa6aef7,069b36be40d47babafa1775e5a3453cd1a07b77bb01b69f5f62f7bddcee28831,0014cdbffe8fac3abb4d4bd1b8ba1fa6f43fa3db795f6a22423eb7085618f90e,16ae5c1d30555945fad5ac75ef12679137bccd9de7937133d0c062d1d6a26119,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
