chunk_id,chunk_sequence,chunk_case_position,case_name,chain,admissible_deployment_start,admissible_deployment_end,positive_prediction_cutoff_time,minimum_additional_distinct_slots,expansion_requirement_sha256,expansion_ledger_sha256,pair_scope_manifest_sha256,authority_projection_sha256,policy_sha256,plan_no_repeat_sha256,chunk_scope_sha256,acquisition_authorized,rpc_authorized,selection_authorized,chunk_assignment_sha256
stage2-expansion-0001-b559431afb94,1,11,ATMBlindBox,bsc,2026-02-16T10:56:43Z,2026-03-19T10:56:43Z,2026-03-19T10:56:43Z,9,19ae50d4a3dd328571241cf391e4cd7a391f513f89661cced057393833817219,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,7814748963f95230b0d7d177df81a5f500aef45593be40063373e258da028d24
stage2-expansion-0001-b559431afb94,1,12,BetaPresale,bsc,2021-03-15T09:12:04Z,2021-04-15T09:12:04Z,2021-04-15T09:12:04Z,6,0c7e63d76a80e95da23b377d8a552d4b51c5eb2d0f99554ec8f35b75642f3455,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,a8cc02b84dc3f592ef10a8fa2ab8a6400485581f9d3ea92c447fdaebcb372cc5
stage2-expansion-0001-b559431afb94,1,13,BitCrown,bsc,2025-05-08T18:22:23Z,2025-06-08T18:22:23Z,2025-06-08T18:22:23Z,7,4206dd16e7d8949c49edb5c23cbe20b2f153f7d2bd60ba5717906bb79b350542,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,2735ab8cbdba678da9849e214f8341564f1cd079801ad71bcf966ab2b4123b84
stage2-expansion-0001-b559431afb94,1,14,Bitallx,bsc,2025-04-14T06:01:07Z,2025-05-15T06:01:07Z,2025-05-15T06:01:07Z,9,da416697654cb3a5fbe7aa4395814517fd81629f63eb2f6702898da171d9e05c,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,047512ef2ff973a84cab89c4a1a388e85c106a773bc600933b2b39daccb05316
stage2-expansion-0001-b559431afb94,1,15,DLMC,bsc,2026-03-28T13:18:52Z,2026-04-28T13:18:52Z,2026-04-28T13:18:52Z,3,d876e38d3bb3acad5300fbb6ca1dd0267f5f114e2dc7690cc88053da07d02ce9,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,78e9bb1cb345137f7c12e1d29a76d3f9943467d3a2e529bd972b273838054b8f
stage2-expansion-0001-b559431afb94,1,16,FlyLong,bsc,2023-10-29T19:17:34Z,2023-11-29T19:17:34Z,2023-11-29T19:17:34Z,1,2913ef531ed5f17ba309808b15fbced32f90847f739a4bb50f2e445a60258673,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,b82d462b880cb2c375f7fb15d61f9a3f70f9346752864138509cfe00b7766925
stage2-expansion-0001-b559431afb94,1,17,GMT7,bsc,2025-01-08T12:45:18Z,2025-02-08T12:45:18Z,2025-02-08T12:45:18Z,7,4b95e64a50f5cbcf3270f1f7e59a7a6e4b4e0d35481f885553c731a952f8ea72,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,546195ece70117d8ddc4b33a908acdfb7bcd1ac2429ebdd6ab19119f57d09ad3
stage2-expansion-0001-b559431afb94,1,18,GoldReserve,bsc,2024-11-27T15:13:06Z,2024-12-28T15:13:07Z,2024-12-28T15:13:07Z,9,4210fe0ef8995ada53203d2ae2b2c43ab077ff8361a959ec10ed10bc87691728,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,5cd2d5a4a4aa79ec06d666e44cea1c2c1bdc9d5ef18217cd1f5ddaaea6000485
stage2-expansion-0001-b559431afb94,1,19,HORS,bsc,2021-04-12T02:56:01Z,2021-05-13T02:56:01Z,2021-05-13T02:56:01Z,4,51e999929d22d8b8282c2a192a672d83e9fef4edd5857906425550efa4f0cb62,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,f8d448e887c70feb8501e7949a245549de8f7cbd8f884251ab777d747ad6f04e
stage2-expansion-0001-b559431afb94,1,20,HoldSafe,bsc,2025-02-12T16:16:22Z,2025-03-15T16:16:22Z,2025-03-15T16:16:22Z,8,dc97141a0fb07c986557a7454908e6c994b6ef3fd72a743f70a6cb738df68226,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,e5f1a56bdf5a87d4a2c388f4a6e4f940974a8f1437b5b0d6c25528e6d43815ad
stage2-expansion-0001-b559431afb94,1,21,JUDAO,bsc,2025-12-18T00:52:05Z,2026-01-18T00:52:05Z,2026-01-18T00:52:05Z,2,ad431b97e39a69061ace6197378b01dc8697fc62ab03bd8a94628359c1f63b47,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,4220e93622aa4826973cd54ed5ed62c4ef895fee4dced62dc1fbf8bb3df89417
stage2-expansion-0001-b559431afb94,1,22,LBP,bsc,2026-04-07T01:57:51Z,2026-05-08T01:57:51Z,2026-05-08T01:57:51Z,1,aac42dfcc1b07d4d7caa488df9b154ec67f1935014907d70c97fd2b0185d25b5,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,24eccb1fcd1b87edcba6fd36fefbf85385786ecb1794cbd60058b80be7310684
stage2-expansion-0001-b559431afb94,1,23,MFT,bsc,2024-10-11T05:45:59Z,2024-11-11T05:46:00Z,2024-11-11T05:46:00Z,7,443eb29ce5e659dd0af5d800cc0a93bee9fb69920e5ddc8e014ed74c5de8c9d3,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,8fd9613f5c3ae3b1294ba10d2b6795f116b148b6fc47e3bc59279241b563cd45
stage2-expansion-0001-b559431afb94,1,24,MicDao,bsc,2023-09-07T02:28:33Z,2023-10-08T02:28:34Z,2023-10-08T02:28:34Z,7,5fbf1916b47d547b4a25672e4dfea0164359d30dccae4a0ff68d9323dd5807b8,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,cc5877a082c32156afb9f6093d7ec25bb400668db9484b8473347f29f86658be
stage2-expansion-0001-b559431afb94,1,25,MyCoinMaster,bsc,2025-06-25T10:26:41Z,2025-07-26T10:26:41Z,2025-07-26T10:26:41Z,6,e965b1d992e0a764c5072e0be82f1c85956bd95e6c5137b7f8365e7a03bdf851,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,6faac37386e39a3adf39e956255f9faab66b119d77bfe1c32fff1463b131f7d2
