case_name,chain,chain_id,positive_prediction_cutoff_time,minimum_additional_distinct_slots,reserve_target,control_address,control_identity,control_deployment_time,deployment_distance_seconds,creation_tx_hash,deployment_block,creation_type,trace_proof,source_object_key,source_object_sha256,source_record_sha256,edge_rank_sha256,reserve_assignment_sha256,queue_status,rpc_authorized,selection_authorized,stage_promotion_authorized,recovery3_mutation_authorized
tinu,ethereum,1,2021-06-20T18:45:47Z,10,100,0xec672016254390b04f40daea43ee21fad1d728a2,1:0xec672016254390b04f40daea43ee21fad1d728a2,UNKNOWN_REQUIRES_RPC,-1,0xcd8d816e5f8918b1709345d1d45d777a6ac4445a0c53684c5ec6d3e94da27281,12598830,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_20000000_21000000.parquet,5408f43ed5a3cd3b27216a3df0904e4053ec650ebb80c9c1c2ede9026839c3b5,a252aea765ded7a642877128cf5eb0c207fc0ea503062314990f957551e6d7df,000561625bf8321f8b995155a8d8b37753258c6a5faa647bef76825d19e70e18,2d817ef96e6203e32a896540c15dca4ca5bfa6430a4243fe2a4df591765a3e75,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
adc,ethereum,1,2020-05-17T01:31:41Z,10,100,0xe1de0f340996909075278447d45338cd69a32648,1:0xe1de0f340996909075278447d45338cd69a32648,UNKNOWN_REQUIRES_RPC,-1,0x1a671b4b14e8e7de1f1a77a71c7e3b15f35cbd9942d43c111be072bd535eb129,9978788,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_15000000_16000000.parquet,fb048ce929cf0d541c7dfe8c10ffb84dba33d093f3718146318d7b12073d7d12,bf668adf92dbfdd50deb20d740d8c2905db3382b26bad4157507e487e5c2daa3,0012878787f1b20ec8f22fb1576938d461bafbf89dfc16629a2d58c52b4c4da5,8158279ec21d68fed23648cada42c9a548cbb2809e4c4088055db044afed49b9,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
auctus,ethereum,1,2020-06-26T17:58:03Z,10,100,0x53fcab2b996bf6d165ea98208e8c55bf3885d2e0,1:0x53fcab2b996bf6d165ea98208e8c55bf3885d2e0,UNKNOWN_REQUIRES_RPC,-1,0x232d814021485e188d8144b3402b805ac379570509b5c8db175b5e9ecaf30816,10337114,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_21000000_22000000.parquet,6951c22b6f2732efb0772f657e597c5cdd89f8d4c3b5d2d0c7e8d53bc240b602,64eba77d82f62cca258980be8d5b72c9a4462ef3cb982679bade418eb97617b2,0011ffd182f9758d39267aaba4b272fa202e2e65ae9813411b3abd64394ff8a0,5f750799711911118947713df94fb88760f3bffa02d30416e444e9da42dc17fa,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
bmizapper,ethereum,1,2021-07-07T05:48:25Z,10,100,0x7cfcd2cb3f5153d565f14a83b90e8397ca61b1a2,1:0x7cfcd2cb3f5153d565f14a83b90e8397ca61b1a2,UNKNOWN_REQUIRES_RPC,-1,0x6fe0d7d5755b557ecec2999346a9b415c2863f4d49cf7b96186f15a80180bb94,12630574,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_20000000_21000000.parquet,5408f43ed5a3cd3b27216a3df0904e4053ec650ebb80c9c1c2ede9026839c3b5,39cd15801602853f4fbdf5e719a7e7d6835abc57b7557e4b09252265cb8a2da7,00045693f342f17fbe9be27dfca6abb2a2468435c9ad720cdaf106374d92906e,ee42a820690b23b97d68e1cb902c7508a920b717464b082d6c0c097642076a30,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
hopelend,ethereum,1,2023-08-08T06:11:59Z,10,100,0xf75c704f00a8ddbbec1951fe3880a771716c0e3c,1:0xf75c704f00a8ddbbec1951fe3880a771716c0e3c,UNKNOWN_REQUIRES_RPC,-1,0x2e9efdbcfcb5c6efc0a7a1988677a43e0cee395481533c6a86cedb51cfecee89,17665703,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_6000000_7000000.parquet,408541b1fff35d9d72eb413a63bd7e1ecdfd299daa7ca67b3c7185856aa6aef7,760889ae4083331e4d8fe37fab0055a6d63b174bfd024e3bf5795ab5ecdaefdc,000fa58de00fb77f9ead8c61e096e63d5cfd2e90de3b40cbb08eaba885010fdc,1e547967edc030843bb8ff9d7689fd7cbf07fd9df1588f882177d6960a2f7497,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
