source_name,local_file,source_url,sha256,records_parsed,license,role,acquisition_note
DeFiHackLabs,2021.md,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,51,Apache-2.0,evaluator_only_incident_evidence,Frozen public snapshot; hashes bind the exact bytes used by this artifact.
DeFiHackLabs,2022.md,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2022/README.md,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,129,Apache-2.0,evaluator_only_incident_evidence,Frozen public snapshot; hashes bind the exact bytes used by this artifact.
DeFiHackLabs,2023.md,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2023/README.md,1b5a1d9c3166c2b9d60fefc71f8e12d2c3d2f604b259d662e38310d39db6838b,214,Apache-2.0,evaluator_only_incident_evidence,Frozen public snapshot; hashes bind the exact bytes used by this artifact.
DeFiHackLabs,2024.md,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2024/README.md,db3b13fa1cbf75bffec4662240ebd762c5af6c92d2608b9aecde80a8d7802b08,188,Apache-2.0,evaluator_only_incident_evidence,Frozen public snapshot; hashes bind the exact bytes used by this artifact.
DeFiHackLabs,2025.md,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2025/README.md,d3b80fe4ed7198fc900616b269408c1d0485ef8f000f46d37adb75be862a4a9c,161,Apache-2.0,evaluator_only_incident_evidence,Frozen public snapshot; hashes bind the exact bytes used by this artifact.
DeFiHackLabs,README_current.md,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/README.md,295e8ad6c3709d47a0489069bf9c7b1da50ff4d5b0e5c255dab0127f208db5c3,106,Apache-2.0,evaluator_only_incident_evidence,Frozen public snapshot; hashes bind the exact bytes used by this artifact.
