case_name,chain,chain_id,positive_prediction_cutoff_time,minimum_additional_distinct_slots,reserve_target,control_address,control_identity,control_deployment_time,deployment_distance_seconds,creation_tx_hash,deployment_block,creation_type,trace_proof,source_object_key,source_object_sha256,source_record_sha256,edge_rank_sha256,reserve_assignment_sha256,queue_status,rpc_authorized,selection_authorized,stage_promotion_authorized,recovery3_mutation_authorized
bdex,bsc,56,2021-05-12T06:52:17Z,10,100,0x36f5f578ddc83ce9e36c78efd10c1989e910242a,56:0x36f5f578ddc83ce9e36c78efd10c1989e910242a,UNKNOWN_REQUIRES_RPC,-1,0xf1c7ac64c383e553e97e949674f05563d0b42319562e418da7f4b3f4466092b5,6837902,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_29000000_30000000.parquet,3255e78e345aff80bfd6dfc7d760f4bda3a96fce4225cc3e128ce3d21ff32822,3c849bf3247ba7582c7a1807776cb18ad5bbf46e2439ee5c61f1a1ae654d93ff,0002f9a512398e6a496a5e7f565e1d13bd4f8cd0adba52c0b89a79f9eec45f12,0c250a6cb9601183f68be3219bcd22aacf6f76345c44c2428fdf07ef3a71fc33,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
mbc_zzsh,bsc,56,2022-07-31T14:14:34Z,10,100,0xa80ada387bbb69228a7eab39766662e0defea309,56:0xa80ada387bbb69228a7eab39766662e0defea309,UNKNOWN_REQUIRES_RPC,-1,0x41dbdbab23a1538d8cdd418c75264cb9ba5c2fc9aaab86c631d824bc2f738084,19344816,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_31000000_32000000.parquet,1096c453513646713a3b6185edd15651bf3a9599e2e334ecd82bcf3c939ca722,cf266bef05c6f556fa2d6a764eac729fb625cd82a107714e6cb4201893a1a471,0008cb7e12d431066c2164fd1eff6bdeafb10d52f9a26d8b2c05cae59c3708c3,b4418bdc9dcf37c5f44a5d1e6fd20789dc8be5c2965cc016227bd9899283d9a4,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
Bitallx,bsc,56,2025-05-15T06:01:07Z,9,90,0x6154bc7342beba39c85fc3489575fbc746460c5a,56:0x6154bc7342beba39c85fc3489575fbc746460c5a,UNKNOWN_REQUIRES_RPC,-1,0xe98fc15d41e83e9433f9618420e077b725a1181d20a7e15c2335ffa27b998573,49494679,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_29000000_30000000.parquet,3255e78e345aff80bfd6dfc7d760f4bda3a96fce4225cc3e128ce3d21ff32822,1d4e85bf863b0aa6d7770b43ee65725c39341cd10c403d1e8ae048ffca5c4926,0034c891bb114b23c268b20d48b62a23ca740af94246dd86b9d38423bb095306,0d6c9ec9a4dc995582f6149ec979c84052b894d36fa2c2ba258f6ade3a22a989,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
